Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,70.129997,70.489998,69.919998,70.430000,58.315353,5280400
2011-07-01,70.080002,70.360001,69.610001,70.190002,58.116650,6466900
2011-07-05,69.870003,70.449997,69.660004,69.769997,57.768902,7317900
2011-07-06,69.800003,70.209999,69.750000,70.169998,58.100094,5989600
2011-07-07,70.489998,70.750000,70.250000,70.519997,58.389885,5695000
2011-07-08,70.010002,70.389999,69.459999,69.930000,57.901371,6016400
2011-07-11,69.339996,69.480003,68.919998,69.300003,57.379742,5248800
2011-07-12,69.199997,69.540001,68.860001,69.010002,57.139614,5376300
2011-07-13,69.379997,69.470001,68.629997,68.889999,57.040260,4955500
2011-07-14,68.739998,69.080002,68.440002,68.599998,56.800144,4460000
2011-07-15,68.529999,68.529999,68.000000,68.529999,56.742176,6760200
2011-07-18,68.610001,68.610001,67.379997,68.000000,56.303356,6165000
2011-07-19,68.089996,68.730003,67.750000,68.540001,56.750462,6550200
2011-07-20,68.860001,68.870003,68.279999,68.489998,56.709061,5707000
2011-07-21,67.309998,67.309998,64.790001,66.169998,54.788124,26300600
2011-07-22,66.180000,66.250000,65.239998,65.760002,54.448662,10477200
2011-07-25,65.199997,65.379997,64.269997,64.370003,53.297749,14148600
2011-07-26,64.650002,64.650002,64.010002,64.070000,53.049343,12524600
2011-07-27,64.089996,64.440002,63.790001,63.860001,52.875465,12889200
2011-07-28,64.150002,64.400002,63.880001,63.889999,52.900311,6831700
2011-07-29,63.810001,64.209999,63.549999,64.040001,53.024509,8711600
2011-08-01,64.220001,64.430000,63.450001,63.860001,52.875465,7997200
2011-08-02,63.610001,63.759998,63.180000,63.180000,52.312435,8047800
2011-08-03,63.340000,64.589996,63.180000,64.480003,53.388824,11800200
2011-08-04,64.430000,65.089996,63.200001,63.349998,52.453190,15201200
2011-08-05,64.139999,65.480003,63.480000,64.669998,53.546143,18775700
2011-08-08,64.169998,64.910004,62.880001,62.970001,52.138561,20127300
2011-08-09,63.509998,63.889999,60.610001,63.090000,52.237911,27337100
2011-08-10,62.580002,62.889999,60.099998,60.320000,49.944374,21692800
2011-08-11,60.410000,63.590000,60.410000,62.869999,52.055752,14654100
2011-08-12,63.299999,63.570000,62.560001,63.180000,52.312435,8808000
2011-08-15,63.490002,63.750000,63.169998,63.570000,52.635349,7026800
2011-08-16,63.169998,64.059998,62.849998,63.759998,52.792667,6746300
2011-08-17,63.770000,64.779999,63.680000,64.620003,53.504742,7568700
2011-08-18,63.820000,64.559998,62.500000,63.090000,52.237911,12016800
2011-08-19,62.570000,63.150002,61.849998,62.070000,51.393368,13212600
2011-08-22,62.790001,62.790001,61.770000,61.919998,51.269173,8212500
2011-08-23,62.150002,63.480000,62.099998,63.480000,52.560829,7631200
2011-08-24,63.369999,63.750000,63.029999,63.700001,52.742989,6789100
2011-08-25,63.770000,63.919998,62.750000,63.020000,52.179955,13773400
2011-08-26,63.349998,63.520000,62.000000,63.160000,52.295879,12274200
2011-08-29,63.709999,64.209999,63.540001,64.160004,53.123871,18839600
2011-08-30,63.970001,64.910004,63.650002,64.519997,53.421944,7969600
2011-08-31,64.129997,64.750000,64.010002,64.430000,53.776676,8353600
2011-09-01,64.379997,64.879997,64.099998,64.150002,53.542973,5986200
2011-09-02,63.630001,64.110001,63.180000,63.299999,52.833511,5790000
2011-09-06,61.750000,62.580002,61.520000,62.450001,52.124054,8216000
2011-09-07,62.980000,62.990002,61.180000,61.619999,51.431293,14915300
2011-09-08,61.419998,61.490002,61.099998,61.340000,51.197590,11827200
2011-09-09,61.070000,61.200001,59.680000,59.990002,50.070801,14838300
2011-09-12,59.400002,60.240002,59.250000,60.139999,50.196014,11253500
2011-09-13,60.299999,60.930000,60.119999,60.540001,50.529861,9470700
2011-09-14,60.860001,62.160000,60.279999,61.580002,51.397915,10606900
2011-09-15,62.080002,63.590000,60.980000,63.220001,52.766735,18666400
2011-09-16,63.060001,63.060001,61.580002,62.049999,51.790195,16669100
2011-09-19,61.119999,61.189999,60.000000,60.560001,50.546558,13587000
2011-09-20,60.660000,61.380001,60.290001,60.389999,50.404663,9630200
2011-09-21,61.639999,62.009998,60.740002,60.790001,50.738533,14350400
2011-09-22,60.000000,61.189999,59.590000,60.919998,50.847034,16341000
2011-09-23,60.590000,60.790001,59.650002,60.340000,50.362934,11139000
2011-09-26,60.750000,62.040001,60.730000,61.889999,51.656647,10312400
2011-09-27,62.720001,63.130001,62.230000,62.430000,52.107361,7991500
2011-09-28,62.610001,63.310001,61.860001,61.970001,51.723427,7054300
2011-09-29,62.740002,63.119999,61.950001,62.580002,52.232555,6609100
2011-09-30,62.369999,62.990002,61.849998,61.900002,51.664993,7405600
2011-10-03,61.590000,62.200001,60.240002,60.290001,50.321209,10573100
2011-10-04,59.720001,60.560001,58.500000,60.450001,50.454746,11390500
2011-10-05,60.150002,60.340000,59.330002,60.290001,50.321209,9194000
2011-10-06,59.959999,60.610001,59.480000,60.570000,50.554905,8023900
2011-10-07,60.980000,61.560001,60.599998,61.020000,50.930500,7909800
2011-10-10,61.660000,61.930000,61.369999,61.869999,51.639957,5985600
2011-10-11,61.570000,61.820000,60.509998,60.950001,50.872078,10261900
2011-10-12,62.369999,63.619999,62.000000,62.700001,52.332718,13796200
2011-10-13,62.189999,62.490002,62.009998,62.360001,52.048939,6887300
