Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,93.839996,94.949997,93.800003,94.849998,90.824120,2079300
2011-07-01,94.680000,96.830002,94.559998,96.519997,92.423210,2464600
2011-07-05,96.169998,96.250000,95.199997,95.500000,91.446495,1870700
2011-07-06,95.580002,97.070000,95.559998,96.779999,92.672211,2365900
2011-07-07,97.690002,98.660004,96.919998,98.500000,94.319183,2958600
2011-07-08,97.239998,97.699997,96.959999,97.559998,93.419083,2229100
2011-07-11,96.750000,96.750000,94.470001,95.080002,91.044350,2534700
2011-07-12,94.699997,95.089996,93.809998,94.080002,90.086784,2958900
2011-07-13,94.739998,95.589996,93.989998,94.250000,90.249573,2133100
2011-07-14,94.459999,94.980003,92.779999,93.059998,89.110077,2829000
2011-07-15,92.970001,93.279999,91.260002,92.199997,88.286583,3206100
2011-07-18,91.800003,91.889999,90.050003,90.459999,86.620438,3612000
2011-07-19,91.220001,92.239998,90.580002,91.769997,87.874878,2550100
2011-07-20,92.010002,92.809998,91.300003,92.190002,88.277008,2182100
2011-07-21,92.690002,94.070000,92.330002,93.080002,89.129219,1984100
2011-07-22,93.260002,93.620003,92.199997,92.790001,88.851563,1635200
2011-07-25,91.699997,92.349998,91.480003,91.879997,87.980171,1867500
2011-07-26,90.430000,91.449997,88.699997,91.000000,87.137520,4588900
2011-07-27,90.239998,90.339996,88.550003,89.139999,85.356476,4036700
2011-07-28,89.440002,90.180000,87.739998,87.860001,84.130783,3454700
2011-07-29,86.910004,88.169998,86.330002,86.879997,83.192360,3024200
2011-08-01,88.050003,88.050003,85.019997,86.000000,82.349739,4119600
2011-08-02,85.370003,86.029999,83.959999,84.440002,80.855988,4101600
2011-08-03,84.599998,86.000000,83.459999,85.739998,82.100777,4380700
2011-08-04,84.779999,85.040001,81.980003,82.099998,78.615265,4364100
2011-08-05,83.220001,83.720001,80.180000,82.360001,78.864250,5026700
2011-08-08,80.339996,81.910004,77.500000,77.540001,74.248817,5679800
2011-08-09,79.190002,79.889999,75.500000,79.750000,76.365005,4804200
2011-08-10,78.529999,78.669998,75.129997,75.320000,72.123070,4640500
2011-08-11,75.779999,81.300003,75.669998,79.879997,76.489502,4746300
2011-08-12,80.290001,81.290001,79.000000,80.480003,77.064041,3280200
2011-08-15,81.199997,81.980003,80.150002,81.849998,78.375885,2698900
2011-08-16,80.900002,81.699997,79.279999,80.099998,76.700172,3826100
